Cleaned_Text,category,Sentiment,"Sentiment_Score",SentimentScore
real sushi lovers lets be honest yama is not that good,0,negative,"0.5",-0.78
at least min passed in between us ordering and the food arriving and it wasnt that busy,0,negative,"-0.09999999999999999",-0.6799999999999999
this is a really fantastic thai restaurant which is definitely worth a visit,1,positive,"0.35",1.0
nice spicy and tender,1,positive,"0.6",1.0
good prices,1,positive,"0.7",1.0
check it out,1,neutral,"0.0",0.13999999999999999
it was pretty gross,0,negative,"0.125",-0.15000000000000002
ive had better atmosphere,0,positive,"0.5",0.98
kind of hard to mess up a steak but they did,0,negative,"0.04444444444444443",-0.96
although i very much liked the look and sound of this place the actual experience was a bit disappointing,0,negative,"0.1",-0.99
i just dont know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine,0,negative,"0.0",-0.99
worst service to boot but that is the least of their worries,0,negative,"-0.65",-1.0
service was fine and the waitress was friendly,1,positive,"0.39583333333333337",1.0
the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak hes ever eaten,1,positive,"0.4",0.54
we thought youd have to venture further away to get good sushi but this place really hit the spot that night,1,positive,"0.3",0.9
host staff were for lack of a better word bitches,0,negative,"0.5",-0.99
bland not a liking this place for a number of reasons and i dont want to waste time on bad reviewing ill leave it at that,0,negative,"-0.3916666666666666",-0.97
phenomenal food service and ambiance,1,positive,"0.5",1.0
i wouldnt return,0,negative,"0.0",-0.87
definitely worth venturing off the strip for the pork belly will return next time im in vegas,1,positive,"0.15",0.5299999999999999
this place is way too overpriced for mediocre food,0,negative,"-0.5",-1.0
penne vodka excellent,1,positive,"1.0",1.0
they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers,1,positive,"0.033333333333333326",1.0
the management is rude,0,negative,"-0.3",-1.0
delicious nyc bagels good selections of cream cheese real lox with capers even,1,positive,"0.6333333333333333",1.0
great subway in fact its so good when you come here every other subway will not meet your expectations,1,positive,"0.4583333333333333",1.0
i had a seriously solid breakfast here,1,positive,"0.0",0.6699999999999999
this is one of the best bars with food in vegas,1,positive,"1.0",1.0
he was extremely rude and really there are so many other restaurants i would love to dine at during a weekend in vegas,0,negative,"0.155",-0.5800000000000001
my drink was never empty and he made some really great menu suggestions,1,positive,"0.42500000000000004",0.99
dont do it,0,negative,"0.0",-0.71
the waiter wasnt helpful or friendly and rarely checked on us,0,negative,"0.3375",-1.0
my husband and i ate lunch here and were very disappointed with the food and service,0,negative,"-0.9750000000000001",-1.0
and the red curry had so much bamboo shoots and wasnt very tasty to me,0,negative,"0.13333333333333333",-0.99
nice blanket of moz over top but i feel like this was done to cover up the subpar food,1,negative,"0.55",-0.78
the bathrooms are clean and the place itself is well decorated,1,positive,"0.3666666666666667",0.99
the menu is always changing food quality is going down service is extremely slow,0,negative,"-0.2277777777777778",-1.0
the service was a little slow considering that were served by people servers so the food was coming in a slow pace,0,negative,"-0.2625",-1.0
i give it thumbs down,0,neutral,"-0.15555555555555556",0.0
we watched our waiter pay a lot more attention to other tables and ignore us,0,negative,"0.1875",-0.82
my fiancé and i came in the middle of the day and we were greeted and seated right away,1,neutral,"0.14285714285714285",0.16999999999999998
this is a great restaurant at the mandalay bay,1,positive,"0.8",1.0
we waited for forty five minutes in vain,0,negative,"0.0",-0.98
crostini that came with the salad was stale,0,negative,"-0.5",-0.97
some highlights great quality nigiri here,1,positive,"0.8",1.0
the staff is friendly and the joint is always clean,1,positive,"0.37083333333333335",0.99
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored,1,positive,"0.2916666666666667",1.0
i ordered the voodoo pasta and it was the first time id had really excellent pasta since going gluten free several years ago,1,positive,"0.4125",1.0
this place is good,1,positive,"0.7",1.0
unfortunately we must have hit the bakery on leftover day because everything we ordered was stale,0,negative,"-0.5",-1.0
i came back today since they relocated and still not impressed,0,negative,"-0.25",-1.0
i was seated immediately,1,neutral,"0.0",0.0
their menu is diverse and reasonably priced,1,positive,"0.2",0.94
avoid at all cost,0,negative,"0.0",-0.97
restaurant is always full but never a wait,1,positive,"0.35",0.49
delicious,1,positive,"1.0",1.0
this place is handsdown one of the best places to eat in the phoenix metro area,1,positive,"1.0",1.0
so dont go there if you are looking for good food,0,positive,"0.7",0.8200000000000001
ive never been treated so bad,0,negative,"-0.6999999999999998",-0.98
bacon is hella salty,1,neutral,"0.0",0.05
we also ordered the spinach and avocado salad the ingredients were sad and the dressing literally had zero taste,0,negative,"-0.5",-1.0
this really is how vegas fine dining used to be right down to the menus handed to the ladies that have no prices listed,1,positive,"0.1867063492063492",0.86
the waitresses are very friendly,1,positive,"0.48750000000000004",0.97
lordy the khao soi is a dish that is not to be missed for curry lovers,1,positive,"0.0",0.9
everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter,1,positive,"0.4000000000000001",1.0
perhaps i caught them on an off night judging by the other reviews but im not inspired to go back,0,negative,"-0.0625",-0.94
the service here leaves a lot to be desired,0,negative,"0.0",-0.9099999999999999
the atmosphere is modern and hip while maintaining a touch of coziness,1,positive,"0.2",0.83
not a weekly haunt but definitely a place to come back to every once in a while,1,neutral,"0.0",0.09
we literally sat there for minutes with no one asking to take our order,0,neutral,"0.0",-0.13999999999999999
the burger had absolutely no flavor the meat itself was totally bland the burger was overcooked and there was no charcoal flavor,0,negative,"-0.13333333333333333",-1.0
i also decided not to send it back because our waitress looked like she was on the verge of having a heart attack,0,negative,"0.0",-0.94
i dressed up to be treated so rudely,0,negative,"-0.3",-0.99
it was probably dirt,0,neutral,"0.0",-0.06
love this place hits the spot when i want something healthy but not lacking in quantity or flavor,1,positive,"0.5",1.0
i ordered the lemon raspberry ice cocktail which was also incredible,1,positive,"0.9",1.0
the food sucked which we expected but it sucked more than we could have imagined,0,negative,"0.2",-1.0
interesting decor,1,positive,"0.5",1.0
what i really like there is the crepe station,1,neutral,"0.2",0.23000000000000004
also were served hot bread and butter and home made potato chips with bacon bits on topvery original and very good,1,positive,"0.5116666666666666",1.0
you can watch them preparing the delicious food,1,positive,"1.0",1.0
both of the egg rolls were fantastic,1,positive,"0.4",1.0
when my order arrived one of the gyros was missing,0,negative,"-0.2",-0.98
i had a salad with the wings and some ice cream for dessert and left feeling quite satisfied,1,positive,"0.25",1.0
im not really sure how joeys was voted best hot dog in the valley by readers of phoenix magazine,0,positive,"0.3333333333333333",0.6499999999999999
the best place to go for a tasty bowl of pho,1,positive,"1.0",1.0
the live music on fridays totally blows,0,positive,"0.06818181818181818",0.9
ive never been more insulted or felt disrespected,0,negative,"0.5",-0.99
very friendly staff,1,positive,"0.48750000000000004",1.0
it is worth the drive,1,positive,"0.3",0.84
i had heard good things about this place but it exceeding every hope i could have dreamed of,1,positive,"0.7",0.97
food was great and so was the serivce,1,positive,"0.8",1.0
the warm beer didnt help,0,negative,"0.6",-1.0
great brunch spot,1,positive,"0.8",1.0
service is friendly and inviting,1,positive,"0.375",1.0
very good lunch spot,1,positive,"0.9099999999999999",1.0
ive lived here since and this was the first and last time ive stepped foot into this place,0,neutral,"0.125",0.020000000000000004
the worst experience ever,0,negative,"-1.0",-1.0
must have been an off night at this place,0,negative,"0.0",-0.39999999999999997
the sides are delish mixed mushrooms yukon gold puree white corn beateous,1,positive,"0.0",0.58
if that bug never showed up i would have given a for sure but on the other side of the wall where this bug was climbing was the kitchen,0,negative,"0.1875",-0.83
for about minutes we were waiting for her salad when we realized that it wasnt coming any time soon,0,negative,"0.0",-0.74
my friend loved the salmon tartar,1,positive,"0.7",1.0
wont go back,0,negative,"0.0",-0.86
extremely tasty,1,positive,"-0.125",1.0
waitress was good though,1,positive,"0.7",1.0
soggy and not good,0,negative,"-0.35",-1.0
the jamaican mojitos are delicious,1,positive,"1.0",1.0
which are small and not worth the price,0,negative,"-0.2",-1.0
the food is rich so order accordingly,1,positive,"0.375",0.59
the shower area is outside so you can only rinse not take a full shower unless you dont mind being nude for everyone to see,0,neutral,"0.11666666666666665",-0.10000000000000003
the service was a bit lacking,0,negative,"0.0",-1.0
lobster bisque bussell sprouts risotto filet all needed salt and pepperand of course there is none at the tables,0,neutral,"0.0",-0.01
hopefully this bodes for them going out of business and someone who can cook can come in,0,positive,"0.0",0.97
it was either too cold not enough flavor or just bad,0,negative,"-0.4333333333333333",-1.0
i loved the bacon wrapped dates,1,positive,"0.7",1.0
this is an unbelievable bargain,1,positive,"-0.25",0.8300000000000001
the folks at otto always make us feel so welcome and special,1,positive,"0.5785714285714286",1.0
as for the mains also uninspired,0,negative,"-0.5",-0.91
this is the place where i first had pho and it was amazing,1,positive,"0.42500000000000004",1.0
this wonderful experience made this place a muststop whenever we are in town again,1,positive,"1.0",1.0
if the food isnt bad enough for you then enjoy dealing with the worlds worstannoying drunk people,0,negative,"-0.19999999999999996",-0.8200000000000001
very very fun chef,1,positive,"0.39",1.0
ordered a double cheeseburger got a single patty that was falling apart picture uploaded yeah still sucks,0,negative,"-0.12380952380952381",-1.0
great place to have a couple drinks and watch any and all sporting events as the walls are covered with tvs,1,positive,"0.8",1.0
if it were possible to give them zero stars theyd have it,0,negative,"0.0",-0.95
the descriptions said yum yum sauce and another said eel sauce yet another said spicy mayowell none of the rolls had sauces on them,0,negative,"0.0",-0.43999999999999995
id say that would be the hardest decision honestly all of ms dishes taste how they are supposed to taste amazing,1,positive,"0.6000000000000001",0.37000000000000005
if she had not rolled the eyes we may have stayed not sure if we will go back and try it again,0,neutral,"-0.125",-0.09
everyone is very attentive providing excellent customer service,1,positive,"0.76",1.0
horrible dont waste your time and money,0,negative,"-0.6",-0.99
now this dish was quite flavourful,1,positive,"0.0",0.91
by this time our side of the restaurant was almost empty so there was no excuse,0,negative,"-0.037500000000000006",-0.94
it wasnt busy either also the building was freezing cold,0,negative,"-0.25",-0.95
like the other reviewer said you couldnt pay me to eat at this place again,0,negative,"-0.125",-0.19
drinks took close to minutes to come out at one point,0,neutral,"0.0",-0.08000000000000002
seriously flavorful delights folks,1,positive,"-0.3333333333333333",1.0
much better than the other ayce sushi place i went to in vegas,1,positive,"0.1875",1.0
the lighting is just dark enough to set the mood,1,neutral,"-0.075",0.0
based on the subpar service i received and no effort to show their gratitude for my business i wont be going back,0,negative,"0.0",-0.99
owners are really great people,1,positive,"0.8",1.0
there is nothing privileged about workingeating there,0,negative,"0.0",-0.71
the greek dressing was very creamy and flavorful,1,positive,"0.1",0.94
overall i dont think that i would take my parents to this place again because they made most of the similar complaints that i silently felt too,0,negative,"0.125",-0.96
now the pizza itself was good the peanut sauce was very tasty,1,positive,"0.44999999999999996",1.0
we had at our table and the service was pretty fast,1,positive,"0.225",0.99
fantastic service here,1,positive,"0.4",1.0
i as well wouldve given godfathers zero stars if possible,0,negative,"0.0",-0.9299999999999999
they know how to make them here,1,neutral,"0.0",0.049999999999999996
very tough and very short on flavor,0,negative,"-0.25277777777777777",-1.0
i hope this place sticks around,1,positive,"0.0",0.92
i have been in more than a few bars in vegas and do not ever recall being charged for tap water,0,neutral,"0.15",-0.12000000000000001
the restaurant atmosphere was exquisite,1,positive,"1.0",1.0
good service very clean and inexpensive to boot,1,positive,"0.5883333333333334",1.0
the seafood was fresh and generous in portion,1,positive,"0.3",1.0
plus its only bucks,1,neutral,"0.0",0.0
the service was not up to par either,0,negative,"0.0",-1.0
thus far have only visited twice and the food was absolutely delicious each time,1,positive,"0.3666666666666667",1.0
just as good as when i had it more than a year ago,1,positive,"0.6",1.0
for a self proclaimed coffee cafe i was wildly disappointed,0,negative,"-0.75",-1.0
the veggitarian platter is out of this world,1,neutral,"0.0",-0.13
you cant go wrong with any of the food here,1,positive,"-0.5",0.97
you cant beat that,1,neutral,"0.0",0.27
stopped by this place while in madison for the ironman very friendly kind staff,1,positive,"0.54375",1.0
the chefs were friendly and did a good job,1,positive,"0.5375",1.0
ive had better not only from dedicated boba tea spots but even from jenni pho,0,positive,"0.25",0.94
i liked the patio and the service was outstanding,1,positive,"0.55",1.0
the goat taco didnt skimp on the meat and wow what flavor,1,positive,"0.1",0.97
i think not again,0,neutral,"0.0",-0.25
i had the mac salad and it was pretty bland so i will not be getting that again,0,negative,"0.04166666666666667",-0.88
i went to bachi burger on a friends recommendation and was not disappointed,1,positive,"0.375",0.96
service stinks here,0,negative,"-0.6",-0.98
i waited and waited,0,neutral,"0.0",0.020000000000000004
this place is not quality sushi it is not a quality restaurant,0,negative,"0.0",-1.0
i would definitely recommend the wings as well as the pizza,1,positive,"0.0",0.98
great pizza and salads,1,positive,"0.8",1.0
things that went wrong they burned the saganaki,0,negative,"-0.5",-0.99
we waited an hour for what was a breakfast i could have done times better at home,0,negative,"0.5",-0.38000000000000006
this place is amazing,1,positive,"0.6000000000000001",1.0
i hate to disagree with my fellow yelpers but my husband and i were so disappointed with this place,0,negative,"-0.775",-1.0
waited hours never got either of our pizzas as many other around us who came in later did,0,negative,"0.125",-0.84
just dont know why they were so slow,0,negative,"-0.30000000000000004",-0.82
the staff is great the food is delish and they have an incredible beer selection,1,positive,"0.8500000000000001",1.0
i live in the neighborhood so i am disappointed i wont be back here because it is a convenient location,0,negative,"-0.20454545454545456",-1.0
i didnt know pulled pork could be soooo delicious,1,positive,"1.0",1.0
you get incredibly fresh fish prepared with care,1,positive,"0.3",0.98
before i go in to why i gave a star rating please know that this was my third time eating at bachi burger before writing a review,0,negative,"0.0",-0.9299999999999999
i love the fact that everything on their menu is worth it,1,positive,"0.4",1.0
never again will i be dining at this place,0,negative,"0.0",-0.62
the food was excellent and service was very good,1,positive,"0.955",1.0
good beer drink selection and good food selection,1,positive,"0.7",1.0
please stay away from the shrimp stir fried noodles,0,neutral,"0.0",-0.060000000000000005
the potato chip order was sad i could probably count how many chips were in that box and it was probably around,0,negative,"0.0",-1.0
food was really boring,0,negative,"-1.0",-1.0
good servicecheck,1,positive,"0.7",1.0
this greedy corporation will never see another dime from me,0,negative,"0.0",-0.99
will never ever go back,0,neutral,"0.0",-0.43000000000000005
as much as id like to go back i cant get passed the atrocious service and will never return,0,negative,"-0.16666666666666666",-0.98
in the summer you can dine in a charming outdoor patio so very delightful,1,positive,"0.85",1.0
i did not expect this to be so good,1,negative,"0.7",-0.20999999999999996
fantastic food,1,positive,"0.4",1.0
she ordered a toasted english muffin that came out untoasted,0,negative,"0.0",-0.55
the food was very good,1,positive,"0.9099999999999999",1.0
never going back,0,negative,"0.0",-0.65
great food for the price which is very high quality and house made,1,positive,"0.504",1.0
the bus boy on the other hand was so rude,0,negative,"-0.2125",-1.0
by this point my friends and i had basically figured out this place was a joke and didnt mind making it publicly and loudly known,0,negative,"0.05",-0.26
back to good bbq lighter fare reasonable pricing and tell the public they are back to the old ways,1,positive,"0.16666666666666666",0.99
and considering the two of us left there very full and happy for about you just cant go wrong,1,positive,"0.18874999999999997",0.9199999999999999
all the bread is made inhouse,1,neutral,"0.0",0.05
the only downside is the service,0,negative,"0.0",-0.83
also the fries are without a doubt the worst fries ive ever had,0,negative,"-1.0",-1.0
service was exceptional and food was a good as all the reviews,1,positive,"0.6833333333333333",1.0
a couple of months later i returned and had an amazing meal,1,positive,"0.30000000000000004",1.0
favorite place in town for shawarrrrrrma,1,positive,"0.5",0.99
the black eyed peas and sweet potatoes unreal,1,positive,"0.09166666666666666",0.3
you wont be disappointed,1,positive,"-0.75",0.86
they could serve it with just the vinaigrette and it may make for a better overall dish but it was still very good,1,positive,"0.47",1.0
i go to far too many places and ive never seen any restaurant that serves a egg breakfast especially for,0,negative,"0.19999999999999998",-0.7
when my mom and i got home she immediately got sick and she only had a few bites of salad,0,negative,"-0.3047619047619048",-0.94
the servers are not pleasant to deal with and they dont always honor pizza hut coupons,0,negative,"-0.3666666666666667",-1.0
both of them were truly unbelievably good and i am so glad we went back,1,positive,"0.39999999999999997",1.0
we had fantastic service and were pleased by the atmosphere,1,positive,"0.45",1.0
everything was gross,0,negative,"0.0",-0.9299999999999999
i love this place,1,positive,"0.5",1.0
great service and food,1,positive,"0.8",1.0
first the bathrooms at this location were dirty seat covers were not replenished just plain yucky,0,negative,"-0.1880952380952381",-1.0
the burger i got the gold standard a burger and was kind of disappointed,0,negative,"-0.05000000000000001",-1.0
omg the food was delicioso,1,positive,"0.0",1.0
there is nothing authentic about this place,0,negative,"0.5",-0.96
the spaghetti is nothing special whatsoever,0,neutral,"0.35714285714285715",-0.24
of all the dishes the salmon was the best but all were great,1,positive,"0.9",1.0
the vegetables are so fresh and the sauce feels like authentic thai,1,positive,"0.4",0.99
its worth driving up from tucson,1,positive,"0.3",0.84
the selection was probably the worst ive seen in vegasthere was none,0,negative,"-1.0",-1.0
pretty good beer selection too,1,positive,"0.475",1.0
this place is like chipotle but better,1,positive,"0.5",0.99
classywarm atmosphere fun and fresh appetizers succulent steaks baseball steak,1,positive,"0.3",0.98
stars for the brick oven bread app,1,positive,"0.0",0.89
i have eaten here multiple times and each time the food was delicious,1,positive,"0.5",1.0
we sat another ten minutes and finally gave up and left,0,negative,"0.0",-0.97
he was terrible,0,negative,"-1.0",-0.98
everyone is treated equally special,1,neutral,"0.35714285714285715",0.14
it shouldnt take min for pancakes and eggs,0,neutral,"0.0",-0.16
it was delicious,1,positive,"1.0",1.0
on the good side the staff was genuinely pleasant and enthusiastic a real treat,1,positive,"0.5583333333333333",1.0
sadly gordon ramseys steak is a place we shall sharply avoid during our next trip to vegas,0,negative,"-0.20833333333333334",-1.0
as always the evening was wonderful and the food delicious,1,positive,"1.0",1.0
best fish ive ever had in my life,1,positive,"1.0",1.0
the bathroom is just next door and very nice,1,positive,"0.39",0.99
the buffet is small and all the food they offered was bland,0,negative,"-0.20833333333333331",-0.99
this is an outstanding little restaurant with some of the best food i have ever tasted,1,positive,"0.4375",1.0
pretty cool i would say,1,positive,"0.3",1.0
definitely a turn off for me i doubt ill be back unless someone else is buying,0,negative,"-0.16666666666666666",-0.98
server did a great job handling our large rowdy table,1,positive,"0.5071428571428571",1.0
i find wasting food to be despicable but this just wasnt food,0,negative,"0.0",-1.0
my wife had the lobster bisque soup which was lukewarm,0,neutral,"0.0",-0.06999999999999999
would come back again if i had a sushi craving while in vegas,1,neutral,"0.0",0.41000000000000003
the staff are great the ambiance is great,1,positive,"0.8",1.0
he deserves stars,1,positive,"0.0",0.8400000000000001
i left with a stomach ache and felt sick the rest of the day,0,negative,"-0.35714285714285715",-0.99
they dropped more than the ball,0,neutral,"0.5",-0.32
the dining space is tiny but elegantly decorated and comfortable,1,positive,"0.3",1.0
they will customize your order any way youd like my usual is eggplant with green bean stir fry love it,1,positive,"0.016666666666666663",1.0
and the beans and rice were mediocre at best,0,negative,"0.25",-0.99
best tacos in town by far,1,positive,"0.55",1.0
i took back my money and got outta there,0,neutral,"0.0",-0.45999999999999996
in an interesting part of town this place is amazing,1,positive,"0.55",1.0
rude inconsiderate management,0,negative,"-0.3",-1.0
the staff are now not as friendly the wait times for being served are horrible no one even says hi for the first minutes,0,negative,"-0.125",-1.0
i wont be back,0,negative,"0.0",-0.59
they have great dinners,1,positive,"0.8",1.0
the service was outshining i definitely recommend the halibut,1,positive,"0.0",0.98
the food was terrible,0,negative,"-1.0",-1.0
will never ever go back and have told many people what had happened,0,neutral,"0.25",-0.35
i dont recommend unless your car breaks down in front of it and you are starving,0,negative,"-0.15555555555555556",-1.0
i will come back here every time im in vegas,1,neutral,"0.0",0.019999999999999997
this place deserves one star and has to do with the food,0,negative,"0.0",-0.08000000000000002
this is a disgrace,0,negative,"0.0",-1.0
def coming back to bowl next time,1,neutral,"0.0",0.0
if you want healthy authentic or ethic food try this place,1,positive,"0.5",1.0
i will continue to come here on ladies night andddd date night highly recommend this place to anyone who is in the area,1,positive,"0.16",1.0
i have been here several times in the past and the experience has always been great,1,positive,"0.18333333333333335",1.0
we walked away stuffed and happy about our first vegas buffet experience,1,positive,"0.525",0.99
service was excellent and prices are pretty reasonable considering this is vegas and located inside the crystals shopping mall by aria,1,positive,"0.48333333333333334",1.0
to summarize the food was incredible nay transcendant but nothing brings me joy quite like the memory of the pneumatic condiment dispenser,1,positive,"0.8500000000000001",0.78
im probably one of the few people to ever go to ians and not like it,0,neutral,"-0.2",-0.25
