clean_txt,category,Sentiment
Kind of hard to mess up a steak but they did.,0,Mixed
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,Mixed
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,Neutral
"Worst service to boot, but that is the least of their worries.",0,Negative
Service was fine and the waitress was friendly.,1,Positive
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,Positive
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,Positive
"Host staff were, for lack of a better word, BITCHES!",0,Positive
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,Negative
"Phenomenal food, service and ambiance.",1,Positive
I wouldn't return.,0,Neutral
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,Positive
This place is way too overpriced for mediocre food.,0,Negative
Penne vodka excellent!,1,Positive
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,Mixed
The management is rude.,0,Negative
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,Positive
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,Positive
I had a seriously solid breakfast here.,1,Neutral
This is one of the best bars with food in Vegas.,1,Positive
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,Positive
My drink was never empty and he made some really great menu suggestions.,1,Positive
Don't do it!!!!,0,Neutral
The waiter wasn't helpful or friendly and rarely checked on us.,0,Positive
My husband and I ate lunch here and were very disappointed with the food and service.,0,Negative
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,Positive
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,Positive
The bathrooms are clean and the place itself is well decorated.,1,Positive
"The menu is always changing, food quality is going down & service is extremely slow.",0,Negative
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,Negative
I give it 2 thumbs down,0,Negative
We watched our waiter pay a lot more attention to other tables and ignore us.,0,Positive
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,Positive
This is a great restaurant at the Mandalay Bay.,1,Positive
We waited for forty five minutes in vain.,0,Neutral
Crostini that came with the salad was stale.,0,Negative
Some highlights : Great quality nigiri here!,1,Positive
the staff is friendly and the joint is always clean.,1,Positive
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,Positive
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,Positive
this place is good.,1,Positive
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,Negative
I came back today since they relocated and still not impressed.,0,Negative
I was seated immediately.,1,Neutral
"Their menu is diverse, and reasonably priced.",1,Positive
Avoid at all cost!,0,Neutral
Restaurant is always full but never a wait.,1,Positive
DELICIOUS!!,1,Positive
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,Positive
So don't go there if you are looking for good food...,0,Positive
I've never been treated so bad.,0,Negative
Bacon is hella salty.,1,Neutral
We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.,0,Negative
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,Positive
The waitresses are very friendly.,1,Positive
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,Neutral
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,Positive
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,Mixed
The service here leaves a lot to be desired.,0,Neutral
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,Positive
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,Neutral
We literally sat there for 20 minutes with no one asking to take our order.,0,Neutral
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,Negative
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,Neutral
I dressed up to be treated so rudely!,0,Negative
It was probably dirt.,0,Neutral
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,Positive
I ordered the Lemon raspberry ice cocktail which was also incredible.,1,Positive
"The food sucked, which we expected but it sucked more than we could have imagined.",0,Positive
Interesting decor.,1,Positive
What I really like there is the crepe station.,1,Positive
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,Positive
you can watch them preparing the delicious food!),1,Positive
Both of the egg rolls were fantastic.,1,Positive
"When my order arrived, one of the gyros was missing.",0,Negative
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,Positive
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,Positive
The best place to go for a tasty bowl of Pho!,1,Positive
The live music on Fridays totally blows.,0,Mixed
I've never been more insulted or felt disrespected.,0,Positive
Very friendly staff.,1,Positive
It is worth the drive.,1,Positive
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,Positive
Food was great and so was the serivce!,1,Positive
The warm beer didn't help.,0,Positive
Great brunch spot.,1,Positive
Service is friendly and inviting.,1,Positive
Very good lunch spot.,1,Positive
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,Positive
The WORST EXPERIENCE EVER.,0,Negative
Must have been an off night at this place.,0,Neutral
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,Neutral
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,Positive
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,Neutral
My friend loved the salmon tartar.,1,Positive
Won't go back.,0,Neutral
Extremely Tasty!,1,Negative
Waitress was good though!,1,Positive
Soggy and not good.,0,Negative
The Jamaican mojitos are delicious.,1,Positive
Which are small and not worth the price.,0,Negative
- the food is rich so order accordingly.,1,Positive
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,Positive
The service was a bit lacking.,0,Neutral
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,Neutral
Hopefully this bodes for them going out of business and someone who can cook can come in.,0,Neutral
"It was either too cold, not enough flavor or just bad.",0,Negative
I loved the bacon wrapped dates.,1,Positive
This is an unbelievable BARGAIN!,1,Negative
The folks at Otto always make us feel so welcome and special.,1,Positive
"As for the ""mains,"" also uninspired.",0,Negative
This is the place where I first had pho and it was amazing!!,1,Positive
This wonderful experience made this place a must-stop whenever we are in town again.,1,Positive
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,Negative
Very very fun chef.,1,Positive
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,Negative
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,Positive
"If it were possible to give them zero stars, they'd have it.",0,Neutral
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,Neutral
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,Positive
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,Negative
"Everyone is very attentive, providing excellent customer service.",1,Positive
Horrible - don't waste your time and money.,0,Negative
Now this dish was quite flavourful.,1,Neutral
By this time our side of the restaurant was almost empty so there was no excuse.,0,Mixed
"(It wasn't busy either) Also, the building was FREEZING cold.",0,Negative
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,Negative
-Drinks took close to 30 minutes to come out at one point.,0,Neutral
"Seriously flavorful delights, folks.",1,Negative
Much better than the other AYCE sushi place I went to in Vegas.,1,Positive
The lighting is just dark enough to set the mood.,1,Mixed
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,Neutral
Owner's are really great people.!,1,Positive
There is nothing privileged about working/eating there.,0,Neutral
The Greek dressing was very creamy and flavorful.,1,Mixed
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,Positive
Now the pizza itself was good the peanut sauce was very tasty.,1,Positive
We had 7 at our table and the service was pretty fast.,1,Positive
Fantastic service here.,1,Positive
I as well would've given godfathers zero stars if possible.,0,Neutral
They know how to make them here.,1,Neutral
very tough and very short on flavor!,0,Negative
I hope this place sticks around.,1,Neutral
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,Positive
The restaurant atmosphere was exquisite.,1,Positive
"Good service, very clean, and inexpensive, to boot!",1,Positive
The seafood was fresh and generous in portion.,1,Positive
"Plus, it's only 8 bucks.",1,Neutral
"The service was not up to par, either.",0,Neutral
"Thus far, have only visited twice and the food was absolutely delicious each time.",1,Positive
Just as good as when I had it more than a year ago!,1,Positive
"For a self proclaimed coffee cafe, I was wildly disappointed.",0,Negative
The Veggitarian platter is out of this world!,1,Neutral
You cant go wrong with any of the food here.,1,Negative
You can't beat that.,1,Neutral
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,Positive
The chefs were friendly and did a good job.,1,Positive
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,Positive
I liked the patio and the service was outstanding.,1,Positive
The goat taco didn't skimp on the meat and wow what FLAVOR!,1,Positive
I think not again,0,Neutral
I had the mac salad and it was pretty bland so I will not be getting that again.,0,Mixed
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,Positive
Service stinks here!,0,Negative
I waited and waited.,0,Neutral
"This place is not quality sushi, it is not a quality restaurant.",0,Neutral
I would definitely recommend the wings as well as the pizza.,1,Neutral
Great Pizza and Salads!,1,Positive
Things that went wrong: - They burned the saganaki.,0,Negative
We waited an hour for what was a breakfast I could have done 100 times better at home.,0,Positive
This place is amazing!,1,Positive
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,Negative
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,Positive
Just don't know why they were so slow.,0,Negative
"The staff is great, the food is delish, and they have an incredible beer selection.",1,Positive
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,Negative
I didn't know pulled pork could be soooo delicious.,1,Positive
"You get incredibly fresh fish, prepared with care.",1,Positive
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,Neutral
I love the fact that everything on their menu is worth it.,1,Positive
Never again will I be dining at this place!,0,Neutral
The food was excellent and service was very good.,1,Positive
Good beer & drink selection and good food selection.,1,Positive
Please stay away from the shrimp stir fried noodles.,0,Neutral
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,Neutral
Food was really boring.,0,Negative
Good Service-check!,1,Positive
This greedy corporation will NEVER see another dime from me!,0,Neutral
"Will never, ever go back.",0,Neutral
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,Negative
"In the summer, you can dine in a charming outdoor patio - so very delightful.",1,Positive
I did not expect this to be so good!,1,Positive
Fantastic food!,1,Positive
She ordered a toasted English muffin that came out untoasted.,0,Neutral
The food was very good.,1,Positive
Never going back.,0,Neutral
"Great food for the price, which is very high quality and house made.",1,Positive
The bus boy on the other hand was so rude.,0,Negative
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,Mixed
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,Positive
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,Positive
All the bread is made in-house!,1,Neutral
The only downside is the service.,0,Neutral
"Also, the fries are without a doubt the worst fries I've ever had.",0,Negative
Service was exceptional and food was a good as all the reviews.,1,Positive
"A couple of months later, I returned and had an amazing meal.",1,Positive
Favorite place in town for shawarrrrrrma!!!!!!,1,Positive
The black eyed peas and sweet potatoes... UNREAL!,1,Positive
You won't be disappointed.,1,Negative
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1,Positive
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,Positive
When my mom and I got home she immediately got sick and she only had a few bites of salad.,0,Negative
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,Negative
"Both of them were truly unbelievably good, and I am so glad we went back.",1,Positive
"We had fantastic service, and were pleased by the atmosphere.",1,Positive
Everything was gross.,0,Neutral
I love this place.,1,Positive
Great service and food.,1,Positive
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,Negative
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0,Mixed
"OMG, the food was delicioso!",1,Neutral
There is nothing authentic about this place.,0,Positive
the spaghetti is nothing special whatsoever.,0,Positive
"Of all the dishes, the salmon was the best, but all were great.",1,Positive
The vegetables are so fresh and the sauce feels like authentic Thai.,1,Positive
It's worth driving up from Tucson!,1,Positive
The selection was probably the worst I've seen in Vegas.....there was none.,0,Negative
Pretty good beer selection too.,1,Positive
"This place is like Chipotle, but BETTER.",1,Positive
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1,Positive
5 stars for the brick oven bread app!,1,Neutral
"I have eaten here multiple times, and each time the food was delicious.",1,Positive
We sat another ten minutes and finally gave up and left.,0,Neutral
He was terrible!,0,Negative
Everyone is treated equally special.,1,Positive
It shouldn't take 30 min for pancakes and eggs.,0,Neutral
It was delicious!!!,1,Positive
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1,Positive
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0,Negative
As always the evening was wonderful and the food delicious!,1,Positive
Best fish I've ever had in my life!,1,Positive
(The bathroom is just next door and very nice.),1,Positive
The buffet is small and all the food they offered was BLAND.,0,Negative
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1,Positive
Pretty cool I would say.,1,Positive
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0,Neutral
Server did a great job handling our large rowdy table.,1,Positive
"I find wasting food to be despicable, but this just wasn't food.",0,Neutral
My wife had the Lobster Bisque soup which was lukewarm.,0,Neutral
Would come back again if I had a sushi craving while in Vegas.,1,Neutral
"The staff are great, the ambiance is great.",1,Positive
He deserves 5 stars.,1,Neutral
I left with a stomach ache and felt sick the rest of the day.,0,Negative
They dropped more than the ball.,0,Positive
"The dining space is tiny, but elegantly decorated and comfortable.",1,Positive
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1,Mixed
And the beans and rice were mediocre at best.,0,Positive
Best tacos in town by far!!,1,Positive
I took back my money and got outta there.,0,Neutral
"In an interesting part of town, this place is amazing.",1,Positive
RUDE & INCONSIDERATE MANAGEMENT.,0,Negative
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,Negative
I won't be back.,0,Neutral
They have great dinners.,1,Positive
The service was outshining & I definitely recommend the Halibut.,1,Neutral
The food was terrible.,0,Negative
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,Positive
I don't recommend unless your car breaks down in front of it and you are starving.,0,Negative
I will come back here every time I'm in Vegas.,1,Neutral
This place deserves one star and 90% has to do with the food.,0,Neutral
This is a disgrace.,0,Neutral
Def coming back to bowl next time,1,Neutral
"If you want healthy authentic or ethic food, try this place.",1,Positive
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;,1,Positive
"I have been here several times in the past, and the experience has always been great.",1,Positive
We walked away stuffed and happy about our first Vegas buffet experience.,1,Positive
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1,Positive
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1,Positive
I'm probably one of the few people to ever go to Ians and not like it.,0,Negative
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1,Positive
Service is perfect and the family atmosphere is nice to see.,1,Positive
Cooked to perfection and the service was impeccable.,1,Positive
This one is simply a disappointment.,0,Negative
"Overall, I was very disappointed with the quality of food at Bouchon.",0,Negative
I don't have to be an accountant to know I'm getting screwed!,0,Neutral
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,Positive
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1,Positive
Left very frustrated.,0,Negative
I'll definitely be in soon again.,1,Neutral
Food was really good and I got full petty fast.,1,Positive
Service was fantastic.,1,Positive
TOTAL WASTE OF TIME.,0,Mixed
I don't know what kind it is but they have the best iced tea.,1,Positive
"Come hungry, leave happy and stuffed!",1,Positive
"For service, I give them no stars.",0,Neutral
I can assure you that you won't be disappointed.,1,Negative
I can take a little bad service but the food sucks.,0,Negative
Gave up trying to eat any of the crust (teeth still sore).,0,Neutral
But now I was completely grossed out.,0,Mixed
I really enjoyed eating here.,1,Positive
First time going but I think I will quickly become a regular.,1,Positive
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,Positive
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1,Positive
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,Mixed
"Furthermore, you can't even find hours of operation on the website!",0,Neutral
We've tried to like this place but after 10+ times I think we're done with them.,0,Neutral
What a mistake that was!,0,Neutral
No complaints!,1,Neutral
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1,Positive
Waiter was a jerk.,0,Neutral
"Strike 2, who wants to be rushed.",0,Positive
These are the nicest restaurant owners I've ever come across.,1,Neutral
I never come again.,0,Neutral
We loved the biscuits!!!,1,Positive
Service is quick and friendly.,1,Positive
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0,Neutral
So absolutley fantastic.,1,Positive
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0,Negative
definitely will come back here again.,1,Neutral
I like Steiners because it's dark and it feels like a bar.,1,Negative
Wow very spicy but delicious.,1,Positive
"If you're not familiar, check it out.",1,Negative
I'll take my business dinner dollars elsewhere.,0,Neutral
I'd love to go back.,1,Positive
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1,Positive
Nothing special.,0,Positive
Each day of the week they have a different deal and it's all so delicious!,1,Positive
"Not to mention the combination of pears, almonds and bacon is a big winner!",1,Neutral
Will not be back.,0,Neutral
Sauce was tasteless.,0,Negative
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1,Positive
My ribeye steak was cooked perfectly and had great mesquite flavor.,1,Positive
I don't think we'll be going back anytime soon.,0,Neutral
Food was so gooodd.,1,Neutral
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0,Negative
I was so insulted.,0,Neutral
The last 3 times I had lunch here has been bad.,0,Negative
The chicken wings contained the driest chicken meat I have ever eaten.,0,Negative
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1,Positive
Nargile - I think you are great.,1,Positive
Best tater tots in the southwest.,1,Positive
We loved the place.,1,Positive
Definitely not worth the $3 I paid.,0,Negative
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,1,Positive
Im in AZ all the time and now have my new spot.,1,Positive
The manager was the worst.,0,Negative
The inside is really quite nice and very clean.,1,Positive
The food was outstanding and the prices were very reasonable.,1,Positive
I don't think I'll be running back to Carly's anytime soon for food.,0,Neutral
"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0,Negative
"Love the margaritas, too!",1,Positive
This was my first and only Vegas buffet and it did not disappoint.,1,Positive
"Very good, though!",1,Positive
The one down note is the ventilation could use some upgrading.,0,Negative
Great pork sandwich.,1,Positive
Don't waste your time here.,0,Negative
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0,Mixed
"Third, the cheese on my friend's burger was cold.",0,Negative
We enjoy their pizza and brunch.,1,Positive
The steaks are all well trimmed and also perfectly cooked.,1,Positive
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1,Positive
I LOVED it!,1,Positive
We asked for the bill to leave without eating and they didn't bring that either.,0,Neutral
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1,Positive
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0,Mixed
The selection of food was not the best.,0,Positive
Delicious and I will absolutely be back!,1,Positive
"This isn't a small family restaurant, this is a fine dining establishment.",1,Mixed
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1,Positive
I dont think I will be back for a very long time.,0,Mixed
"It was attached to a gas station, and that is rarely a good sign.",0,Positive
How awesome is that.,1,Positive
I will be back many times soon.,1,Positive
The menu had so much good stuff on it i could not decide!,1,Positive
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0,Negative
CONCLUSION: Very filling meals.,1,Positive
Their daily specials are always a hit with my group.,1,Neutral
And then tragedy struck.,0,Neutral
The pancake was also really good and pretty large at that.,1,Positive
"This was my first crawfish experience, and it was delicious!",1,Positive
Their monster chicken fried steak and eggs is my all time favorite.,1,Mixed
Waitress was sweet and funny.,1,Positive
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",1,Positive
"I'd rather eat airline food, seriously.",0,Negative
Cant say enough good things about this place.,1,Positive
The ambiance was incredible.,1,Positive
The waitress and manager are so friendly.,1,Positive
I would not recommend this place.,0,Neutral
Overall I wasn't very impressed with Noca.,0,Positive
My gyro was basically lettuce only.,0,Neutral
Terrible service!,0,Negative
Thoroughly disappointed!,0,Negative
